Time,Fuel,Feed,RPM,Ts_burning,Tg_burning,CaCO3,Target
0.00,4.5000,40.00,1.50,594.20,110.80,-411783874514997150203164815841411403391762041566260532829361895248297459712.00,1400.00
0.05,4.5000,40.00,1.50,589.49,110.80,329427109216546533120415008912881118264449857798067563759906096449448837120.00,1400.00
0.10,4.5000,40.00,1.50,584.83,110.80,-263541692645835863965424212324388310166288508821758288159421791810984345600.00,1400.00
0.15,4.5000,40.00,1.50,580.21,110.80,210833357021578601053388328291197338575659135869543333203131302759039500288.00,1400.00
0.20,4.5000,40.00,1.50,575.64,110.80,-168666687223412430733471381502779188814767334125578812627554794491690876928.00,1400.00
0.25,4.5000,40.00,1.50,571.11,110.80,134933350669919063104597494781085463605846872114957446789103172514964570112.00,1400.00
0.30,4.5000,40.00,1.50,566.62,110.80,-107946681032150075551781186089728218542426811696193995683419786144613662720.00,1400.00
0.35,4.5000,40.00,1.50,562.18,110.80,86357345102969826706340493441694754482366178165921452444797091600329080832.00,1400.00
0.40,4.5000,40.00,1.50,557.77,110.80,-69085876237814817692440098207502242581844366958449605324147845959681835008.00,1400.00
0.45,4.5000,40.00,1.50,553.42,110.80,55268701077694151127876057429998543752213718635241558212430995727266611200.00,1400.00
0.50,4.5000,40.00,1.50,549.10,110.80,-44214960911511569245879719668686319000668228002030121603642831409401298944.00,1400.00
0.55,4.5000,40.00,1.50,544.82,110.80,35371968757160930807789167245062355467554084796671542660068298895224995840.00,1400.00
0.60,4.5000,40.00,1.50,540.58,110.80,-28297575021610728493613002583945951640014452189372944346443538182845759488.00,1400.00
0.65,4.5000,40.00,1.50,536.39,110.80,22638060026342138273523948378376272399629557855372457829094796699130396672.00,1400.00
0.70,4.5000,40.00,1.50,532.23,110.80,-18110448026251424435805704192188621210278221664351473309072285261121978368.00,1400.00
0.75,4.5000,40.00,1.50,528.12,110.80,14488358423971756602770409710521587271071566556835803613341921364408270848.00,1400.00
0.80,4.5000,40.00,1.50,524.04,110.80,-11590686740887162880611125413538938523529499744653244076872195258552680448.00,1400.00
0.85,4.5000,40.00,1.50,520.00,110.80,9272549393696886782411189446462334954464449360084741595996048112847159296.00,1400.00
0.90,4.5000,40.00,1.50,516.00,110.80,-7418039515529238523060920598497330185079333198279303184682878342570967040.00,1400.00
0.95,4.5000,40.00,1.50,512.04,110.80,5934431612755537379674987304735471109603077019365082583734672596272152576.00,1400.00
1.00,4.5000,40.00,1.50,508.12,110.80,-4747545290397982452620117529137024303810243047132657366411153242012516352.00,1400.00
1.05,4.5000,40.00,1.50,504.23,110.80,3798036232431514400411926938707773574349012284923688983891231209215229952.00,1450.00
1.10,4.5000,40.00,1.50,500.38,110.80,-3038428986011533180280029834578640467998523908608243038914786393623363584.00,1450.00
1.15,4.5000,40.00,1.50,496.57,110.80,2430743188848222567972483467907184928506290013921649106653903594507468800.00,1450.00
1.20,4.5000,40.00,1.50,492.80,110.80,-1944594551101574216585575879304060357356953297052710264493916866043969536.00,1450.00
1.25,4.5000,40.00,1.50,489.06,110.80,1555675640894860754236239947989346770302504589424239197931084274418581504.00,1450.00
1.30,4.5000,40.00,1.50,485.35,110.80,-1244540512723956169930625997509687816650813534704856709400421764092133376.00,1450.00
1.35,4.5000,40.00,1.50,481.68,110.80,995632410183963858684975607785212262282060878834825819537073221459247104.00,1450.00
1.40,4.5000,40.00,1.50,478.05,110.80,-796505928150033759194403581990517121592102559336924134830106400107003904.00,1450.00
1.45,4.5000,40.00,1.50,474.45,110.80,637204742521739204549507121271014230759913623628276527230727269199642624.00,1450.00
1.50,4.5000,40.00,1.50,470.89,110.80,-509763794018418768266145111990832207441774413703276774811954466208612352.00,1450.00
1.55,4.5000,40.00,1.50,467.36,110.80,407811035215352877583107369813601077501082640577541394823906473464037376.00,1450.00
1.60,4.5000,40.00,1.50,463.86,110.80,-326248828172655083445796172354743159945236857751319394493083286620864512.00,1450.00
1.65,4.5000,40.00,1.50,460.39,110.80,260999062538349414708937319723216232796482641425393590154922888135704576.00,1450.00
1.70,4.5000,40.00,1.50,456.96,110.80,-208799250030816235273380823835582897538718407600483051233602278810189824.00,1450.00
1.75,4.5000,40.00,1.50,453.57,110.80,167039400024736081352926840255077594293464437564569595917077915705016320.00,1450.00
1.80,4.5000,40.00,1.50,450.20,110.80,-133631520019839474215083027317720501486996161862135501974433323842273280.00,1450.00
1.85,4.5000,40.00,1.50,446.87,110.80,106905216015902523522027585882004372932769148532744031159901790368956416.00,1450.00
1.90,4.5000,40.00,1.50,443.57,110.80,-85524172812740977626457228789848021128957600731167609073349790074404864.00,1450.00
1.95,4.5000,40.00,1.50,440.30,110.80,68419338250204424163290633016357593593861936053740202096043236448534528.00,1450.00
2.00,4.5000,40.00,1.50,437.06,110.80,-54735470600170738381685278012587099046084290135413129065734958848409600.00,1450.00
2.05,4.5000,40.00,1.50,433.85,110.80,43788376480141041072398896951314351876634276606199732070998788259446784.00,1450.00
2.10,4.5000,40.00,1.50,430.67,110.80,-35030701184115586445906945390152179779245804960500911807253770103947264.00,1450.00
2.15,4.5000,40.00,1.50,427.52,110.80,28024560947294168387781268409687891558580348231223525903741693261250560.00,1450.00
2.20,4.5000,40.00,1.50,424.41,110.80,-22419648757836395197139293922840297223007066598933884890465905661706240.00,1450.00
2.25,4.5000,40.00,1.50,421.32,110.80,17935719006269784325767252665814482017709490813951165682629996579913728.00,1450.00
2.30,4.5000,40.00,1.50,418.26,110.80,-14348575205016240621411619576287799024526112374516836158171337963077632.00,1450.00
2.35,4.5000,40.00,1.50,415.23,110.80,11478860164013253634369459208491703481954316312298357559683490456272896.00,1450.00
2.40,4.5000,40.00,1.50,412.23,110.80,-9183088131210770256008629921856695517058817863601537214058934814375936.00,1450.00
2.45,4.5000,40.00,1.50,409.26,110.80,7346470504968716123516168393438921377873224491040001713037914222362624.00,1450.00
2.50,4.5000,40.00,1.50,406.32,110.80,-5877176403975038489622083774794274839551341626065060252464760836063232.00,1450.00
2.55,4.5000,40.00,1.50,403.41,110.80,4701741123180071249579945879301280532002590069014495736684634315948032.00,1450.00
2.60,4.5000,40.00,1.50,400.52,110.80,-3761392898544083665086367769907159860840344470591391555408433447436288.00,1450.00
2.65,4.5000,40.00,1.50,397.66,110.80,3009114318835283942769597827292055666324276944905051412331002995933184.00,1450.00
2.70,4.5000,40.00,1.50,394.83,110.80,-2407291455068237575185356149877881369819206178026489737290833245241344.00,1450.00
2.75,4.5000,40.00,1.50,392.02,110.80,1925833164054596649879110643224396036747581688750681350410891985682432.00,1450.00
2.80,4.5000,40.00,1.50,389.24,110.80,-1540666531243681764140357025657206068604444086897177574672167920992256.00,1450.00
2.85,4.5000,40.00,1.50,386.49,110.80,1232533224994948399678590309009038653660258212620650116279022594818048.00,1450.00
2.90,4.5000,40.00,1.50,383.77,110.80,-986026579995960788611852416157189706696693223013917978321033023717376.00,1450.00
2.95,4.5000,40.00,1.50,381.07,110.80,788821263996770086760245755520167205787030371204858820458992493395968.00,1450.00
3.00,4.5000,40.00,1.50,378.39,110.80,-631057011197416797343578515713341484844462193360749275268277031927808.00,1450.00
3.05,4.5000,40.00,1.50,375.74,110.80,504845608957933974248302115631773613297029257296813686773314389803008.00,1450.00
3.10,4.5000,40.00,1.50,373.12,110.80,-403876487166347524210138387330412021265704514657017263634954003152896.00,1450.00
3.15,4.5000,40.00,1.50,370.52,110.80,323101189733078325867218883042101288681969041787450534655787639242752.00,1450.00
3.20,4.5000,40.00,1.50,367.95,110.80,-258480951786462890568106236317009784697629305976337970535498438934528.00,1450.00
3.25,4.5000,40.00,1.50,365.40,110.80,206784761429170369923067771524440016196116962917664762131115833032704.00,1450.00
3.30,4.5000,40.00,1.50,362.88,110.80,-165427809143336372563231260513994930874244927849590990641848775606272.00,1450.00
3.35,4.5000,40.00,1.50,360.38,110.80,132342247314669136362973530058417403658071621037402382981957075075072.00,1450.00
3.40,4.5000,40.00,1.50,357.90,110.80,-105873797851735347402767345693955381885132975587651496854043714650112.00,1450.00
3.45,4.5000,40.00,1.50,355.45,110.80,84699038281388316234602398202385764466782059227850787951713026310144.00,1450.00
3.50,4.5000,40.00,1.50,353.02,110.80,-67759230625110681721973309797324705792432406450577823212728961990656.00,1450.00
3.55,4.5000,40.00,1.50,350.61,110.80,54207384500088564533772908661470494113283764539327053804422196887552.00,1450.00
3.60,4.5000,40.00,1.50,348.23,110.80,-43365907600070854021542609532127736475544241553819742447817635921920.00,1450.00
3.65,4.5000,40.00,1.50,345.87,110.80,34692726080056683217234087625702189180435393243055793958254108737536.00,1450.00
3.70,4.5000,40.00,1.50,343.53,110.80,-27754180864045353757360117909415774899100004361518933379442922225664.00,1450.00
3.75,4.5000,40.00,1.50,341.21,110.80,22203344691236287794936659533435302289114463333931345512114094604288.00,1450.00
3.80,4.5000,40.00,1.50,338.92,110.80,-17762675752989033827735751531175253608667415550682225516111093301248.00,1450.00
3.85,4.5000,40.00,1.50,336.65,110.80,14210140602391230653975025129367214664309777324082929519308692258816.00,1450.00
3.90,4.5000,40.00,1.50,334.40,110.80,-11368112481912985720442161404969442323906436820445393317586893012992.00,1450.00
3.95,4.5000,40.00,1.50,332.17,110.80,9094489985530390970878011726926895044042379378714414058349392822272.00,1450.00
4.00,4.5000,40.00,1.50,329.96,110.80,-7275591988424315171226691984492857220151133425329630650959392669696.00,1450.00
4.05,4.5000,40.00,1.50,327.78,110.80,5820473590739453334243494889069956368579521701442754222907453341696.00,1450.00
4.10,4.5000,40.00,1.50,325.61,110.80,-4656378872591563864656937212731635687322232322333253080465901879296.00,1450.00
4.15,4.5000,40.00,1.50,323.47,110.80,3725103098073252288987691071660979142316400819045652166512660709376.00,1450.00
4.20,4.5000,40.00,1.50,321.34,110.80,-2980082478458602280163455845382159786025101265678665371512605769728.00,1450.00
4.25,4.5000,40.00,1.50,319.24,110.80,2384065982766882422761835327043563125049388493132457148280054218752.00,1450.00
4.30,4.5000,40.00,1.50,317.15,110.80,-1907252786213506087867235924319309324096837664653346931391535775744.00,1450.00
4.35,4.5000,40.00,1.50,315.09,110.80,1525802228970805169609324064824365107392123872017439970648213422080.00,1450.00
4.40,4.5000,40.00,1.50,313.05,110.80,-1220641783176643761543040095148345025770381922245498944599839735808.00,1450.00
