t,Lignite_Coal,Petcoke,Alternative_Fuel,Feed_rate,Kiln_solid_out,Material_acc,Clinker_output,Air_flow,Cooling_air_flow,ID_fan_speed,Fuel_rate,Tg_preheater,Ts_preheater,Tg_calcination,Ts_calcination,Tg_burning,Ts_burning,Tg_Cooling,Ts_Cooling,O2,CO_ppm,P_preheater,P_calcination,P_burning,Damper_position,kiln_rpm,Residence,Q_in,CaCO3,CaO,CO2,SiO2,Al2O3,Fe2O3,C2S,C3S,C3A,C4AF,Q_out,Q_acc,Q_loss,Q_reaction,Q_gas,Q_clinker,Clinker_yield,dTg_burning,Energy_Error,dCaO_calcination,LSF,dC3A,dC4AF,dC2S,dC3S,Mass_Balance_Error,Tw_burning
0.0,0.9,0.03,0.07,71.0,12.5,15.0,11.13,45100.0,80000.0,900.0,4.0,650.0,300.0,950.0,850.0,1450.0,1420.0,1550.0,1450.0,6.0,900.0,12.0,5.5,1.2,33.0,1.0,69.1718,35575.0,80.0,0.0,0.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,24285.0,1669.0,22600.0,15.175,3524.0,15000.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0
0.16667,0.9,0.03,0.07,71.00367,13.79664,23.68002,8.90106,45062.46095,80003.21256,902.24847,4.00641,919.33573,300.03261,934.84873,546.97469,1458.70238,1419.75516,1549.95881,1449.97978,6.0,391.25,-11546249.18256,-181.68866,1.2,84.68893,1.0209,68.87964,35575.0,78.56549,0.30095,0.63075,12.73036,4.0,3.0,0.77045,0.00149,0.0,0.0,37893.87494,1669.0,36145.35082,79.52412,6318.40711,15000.0,0.65,56.34122,6.51827,0.0,0.0,0.0,0.0,0.3295,0.00063,0.0,1200.10579
0.33333,0.89974,0.03015,0.07012,71.00735,17.49671,31.91122,11.2882,45131.7705,80006.77805,904.74317,4.01351,910.36511,300.06488,931.45625,479.125,1466.68825,1419.53112,1549.91761,1449.95955,6.0,176.62109,-11709919.74933,-183.55015,1.2,84.34549,1.04148,68.60331,35575.0,78.55351,0.03372,0.63602,12.58346,4.0,3.0,1.19021,0.00228,0.0,0.0,38691.93365,1669.0,36943.40542,79.52823,6364.85357,15000.0,0.65,51.70937,8.76158,0.0,0.0,0.0,0.0,0.07286,0.00014,0.0,1200.21374
0.5,0.89948,0.03029,0.07023,71.01102,22.50717,39.44697,14.52076,45200.98386,80010.33929,907.2341,4.02057,923.95487,300.09712,927.5,400.0,1474.01875,1419.32607,1549.87642,1449.93933,6.0,86.07452,-11674477.55677,-185.3962,1.2,84.00432,1.06176,68.34158,35575.0,78.54154,0.00769,0.64128,12.5659,4.0,3.0,1.24038,0.00238,0.0,0.0,39436.06583,1669.0,37687.53348,79.53235,6408.47252,15000.0,0.65,47.46872,10.85331,0.13418,0.0,0.0,0.0,0.00429,1e-05,0.0,1200.32361
0.66667,0.89922,0.03044,0.07035,71.0147,28.08684,46.16813,18.12055,45270.10115,80013.89629,909.72125,4.0276,916.25954,300.12889,937.75779,605.15579,1480.74969,1419.13824,1549.83524,1449.91911,6.0,47.87519,-11623445.72723,-187.22693,1.2,83.66542,1.08173,68.09335,35575.0,78.54154,3e-05,0.64128,12.56179,4.0,3.0,1.25212,0.0024,0.0,0.0,40129.182,1669.0,38380.64554,79.53646,6449.49528,15000.0,0.65,43.59015,12.80164,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,1200.43509
0.83333,0.89895,0.03058,0.07047,71.01837,33.74771,52.04047,21.77272,45339.12251,80017.44906,912.20464,4.03459,907.38859,300.16059,934.84873,546.97469,1486.93237,1418.96621,1549.79405,1449.89888,6.0,31.75985,-11557630.17097,-189.04246,1.2,83.32878,1.10141,67.85762,35575.0,78.52956,0.0,0.64655,12.55818,4.0,3.0,1.26245,0.00242,0.0,0.0,40774.22612,1669.0,39025.68555,79.54058,6488.13524,15000.0,0.65,40.04376,14.61483,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,1200.54804
1.0,0.89869,0.03073,0.07058,71.02205,39.18209,57.08426,25.27877,45408.04808,80020.9976,914.68427,4.04156,897.24691,300.19228,931.45625,479.125,1492.61376,1418.8087,1549.75286,1449.87866,6.0,24.96118,-11762680.72117,-190.84293,1.2,82.99437,1.12079,67.63351,35575.0,78.51759,0.0,0.65181,12.55458,4.0,3.0,1.27272,0.00244,0.0,0.0,41374.10731,1669.0,39625.56262,79.54469,6524.58808,15000.0,0.65,36.801,16.30107,0.0,0.0,0.0,0.0,0.01029,2e-05,0.0,1200.66232
1.16667,0.89843,0.03087,0.0707,71.02572,44.20906,61.35273,28.52197,45476.87798,80024.54192,917.16014,4.04848,916.03996,300.22401,927.5,400.0,1497.8368,1418.66455,1549.71168,1449.85844,6.0,22.093,-11724362.89064,-192.62845,1.2,82.66218,1.13988,67.42019,35575.0,78.50563,0.00671,0.65707,12.55458,4.0,3.0,1.27272,0.00244,0.0,0.0,41931.66936,1669.0,40183.12056,79.5488,6559.03314,15000.0,0.65,33.83617,17.86836,0.13412,0.0,0.0,0.0,0.0,0.0,0.0,1200.77784
1.33333,0.89817,0.03101,0.07081,71.02939,48.73528,64.91712,31.44211,45545.61235,80028.08203,919.63227,4.05538,908.73562,300.25529,937.75779,605.15579,1502.64072,1418.53267,1549.6705,1449.83822,6.0,20.88298,-11675201.73154,-194.39916,1.2,82.3322,1.15869,67.21693,35575.0,78.50563,0.0,0.65707,12.55099,4.0,3.0,1.283,0.00245,0.0,0.0,42449.66675,1669.0,40701.11383,79.55292,6591.63467,15000.0,0.65,31.12514,19.32443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.89447
1.5,0.89792,0.03116,0.07093,71.03306,52.72651,67.8565,34.0171,45614.25132,80031.61792,922.10065,4.06224,900.37518,300.2866,934.84873,546.97469,1507.06142,1418.41209,1549.62932,1449.818,6.0,20.37251,-11613214.29273,-196.15517,1.2,82.00441,1.17722,67.02306,35575.0,78.49366,0.0,0.66233,12.54739,4.0,3.0,1.29328,0.00247,0.0,0.0,42930.75239,1669.0,41182.19536,79.55703,6622.54325,15000.0,0.65,28.64623,20.67675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.01213
