t,Regime,Lignite_Coal,Petcoke,Alternative_Fuel,Feed_rate,Kiln_solid_out,Material_acc,Clinker_output,Air_flow,Cooling_air_flow,ID_fan_speed,Fuel_rate,Tg_preheater,Ts_preheater,Tg_calcination,Ts_calcination,Tg_burning,Ts_burning,Tg_Cooling,Ts_Cooling,O2,CO_ppm,P_preheater,P_calcination,P_burning,Damper_position,CaCO3,CaO,CO2,SiO2,Al2O3,Fe2O3,LSF,C3A,C4AF,C2S,C3S,dC2S,dC3S,dC3A,dC4AF,dCaO_calcination,Mass_Balance_Error,kiln_rpm,Residence,Q_in,Q_out,Q_acc,Q_loss,Q_reaction,Q_gas,Q_clinker,Clinker_yield,dTg_burning,dFuel_rate,Normalized_Energy_Index,Global_Energy_Closure,Energy_error
0.0,R1_HEATING_STABILIZATION,0.9,0.03,0.07,43.0,12.5,15.0,11.13,45100.0,172440.0,900.0,2.5,400.0,100.0,848.37463,802.022,1245.08864,1060.038,1582.903,1450.0,6.0,900.0,12.0,5.5,1.2,33.0,80.0,0.0,0.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.37762,35575.0,24285.0,1669.0,22600.0,15.175,3524.0,15000.0,0.89,0.0,0.0,1.0,1.0,0.0
0.16667,R1_HEATING_STABILIZATION,0.9,0.03,0.07,43.11199,12.50881,15.03833,11.13284,45062.46095,172440.26117,902.24847,2.51839,344.21616,159.37836,852.434,835.1197,1281.81171,1059.90536,1474.75084,129.19993,5.10529,436.79246,-121.48257,-181.68866,1.2,84.68893,77.44793,1.42993,1.12215,12.99996,3.99996,2.99998,0.03314,0.0002,0.00022,0.01271,0.0,0.01715,0.0,0.00511,0.00029,0.0141,95.97764,1.0209,72.07194,35575.28661,23236.8536,1669.92548,21551.7527,15.17542,3481.65507,15000.0,0.89,96.48505,0.0,3195.52761,10683.68295,30.03119
0.33333,R1_HEATING_STABILIZATION,0.89974,0.03015,0.07012,43.15027,12.59115,15.07651,11.20612,45131.7705,172593.40459,904.74317,2.53873,325.98899,197.10535,856.86538,842.90648,1321.91454,1059.79732,1376.27914,128.47488,4.55185,281.93448,-123.11258,-183.55015,1.2,84.34549,74.00642,3.35821,2.63538,12.999,3.99905,2.99942,0.07783,0.00135,0.00156,0.09179,0.0,0.04574,0.0,0.01309,0.00077,0.03823,90.3555,1.04148,71.78281,38041.58307,26074.16889,1680.91787,24378.06212,15.1889,3621.76643,15000.0,0.89,110.32543,0.0,3394.7152,10301.6852,27.08006
0.5,R1_HEATING_STABILIZATION,0.89948,0.03029,0.07023,43.1889,12.67132,15.11456,11.27748,45200.98386,172747.91871,907.2341,2.55897,326.57058,224.24809,861.44894,846.32235,1364.12894,1059.71642,1286.62873,128.46611,4.20806,239.46944,-124.72458,-185.3962,1.2,84.00432,70.42456,5.36512,4.21032,12.99496,3.99522,2.99706,0.1244,0.00374,0.00438,0.25994,0.0,0.07721,0.0,0.02171,0.00129,0.065,84.22558,1.06175,71.50896,39290.58769,29351.23605,1691.62183,27644.41172,15.20249,3769.47401,15000.0,0.89,113.02746,0.0,3483.98681,8262.9323,21.03031
0.66667,R1_HEATING_STABILIZATION,0.89921,0.03044,0.07035,43.22787,12.74948,15.15247,11.34704,45270.10115,172903.81285,909.72125,2.57912,336.59996,246.28922,866.06846,849.27056,1406.04308,1059.66325,1205.01625,128.4605,3.99309,233.90366,-126.31877,-187.22693,1.2,83.66542,66.84934,7.36832,5.78235,12.98533,3.98609,2.99141,0.17101,0.00745,0.00879,0.52495,0.0,0.11117,0.0,0.03079,0.00184,0.09417,77.78646,1.08173,71.24923,40017.50166,32919.10979,1702.0553,31201.83827,15.21621,3918.06369,15000.0,0.89,111.09587,0.0,3526.69225,5411.55278,13.52297
0.83333,R1_HEATING_STABILIZATION,0.89895,0.03058,0.07047,43.26719,12.82573,15.19025,11.4149,45339.12251,173061.0963,912.20464,2.59917,351.39275,265.9312,870.68172,852.15162,1446.70351,1059.63721,1130.72747,128.45762,3.8573,237.75618,-127.89534,-189.04246,1.2,83.32878,63.30492,9.35425,7.34083,12.96743,3.96912,2.98087,0.21749,0.01254,0.0149,0.89445,0.0,0.14776,0.0,0.04033,0.00243,0.12592,71.04518,1.1014,71.00259,40521.84749,36698.1234,1712.23474,34970.65861,15.23005,4064.77687,15000.0,0.89,107.3854,0.0,3549.90877,2126.7194,5.24833
1.0,R1_HEATING_STABILIZATION,0.89869,0.03073,0.07058,43.30686,12.90019,15.22791,11.48117,45408.04808,173219.77835,914.68427,2.61913,368.59975,284.4948,875.27161,855.01082,1485.77269,1059.63728,1063.1112,128.45735,3.7702,242.02856,-129.45449,-190.84293,1.2,82.99437,59.80278,11.3165,8.88072,12.9384,3.94163,2.96371,0.26389,0.01908,0.02281,1.3764,0.0,0.18704,0.0,0.05031,0.00306,0.16035,63.98762,1.12079,70.76809,40928.9095,40641.50039,1722.17528,38904.08109,15.24402,4208.54607,15000.0,0.89,103.0848,0.0,3564.87315,-1419.52216,-3.46826
1.16667,R1_HEATING_STABILIZATION,0.89843,0.03087,0.0707,43.34688,12.97297,15.26545,11.54594,45476.87798,173379.86832,917.16014,2.63899,387.03671,302.61555,879.83115,857.86902,1523.16677,1059.66229,1001.57377,128.45959,3.71306,244.45335,-130.99642,-192.62845,1.2,82.66218,56.3525,13.24969,10.39781,12.89526,3.90079,2.93814,0.31032,0.02704,0.03258,1.97892,0.0,0.22908,0.0,0.05556,0.00347,0.19757,56.59659,1.13988,70.5449,41291.46956,44718.15339,1731.89088,42971.00441,15.2581,4349.01151,15000.0,0.89,98.68272,0.0,3576.27637,-5143.31661,-12.45612
1.33333,R1_HEATING_STABILIZATION,0.89817,0.03101,0.07081,43.38726,13.04415,15.30287,11.6093,45545.61235,173541.3755,919.63227,2.65876,406.10035,320.59008,884.35784,860.7465,1558.90562,1059.71105,945.57393,128.46422,3.67439,244.97138,-132.5213,-194.39916,1.2,82.3322,52.96246,15.14914,11.88841,12.83558,3.84433,2.90259,0.35696,0.03543,0.04308,2.71039,0.0,0.27399,0.0,0.05655,0.00357,0.23772,48.86444,1.15869,70.33222,41632.35413,48904.85098,1741.39439,47148.18427,15.27232,4486.11059,15000.0,0.89,94.37898,0.0,3586.12222,-8998.61892,-21.61448
1.5,R1_HEATING_STABILIZATION,0.89792,0.03116,0.07093,43.42799,13.11384,15.34019,11.67132,45614.25132,173704.30919,922.10065,2.67843,425.47744,338.54822,888.85132,863.66233,1593.05081,1059.7824,894.61832,128.47113,3.64711,244.08295,-134.02934,-196.15517,1.2,82.00441,49.63996,17.01073,13.34931,12.75871,3.77165,2.85659,0.40399,0.04395,0.05387,3.57959,0.0,0.32194,0.0,0.0573,0.00366,0.28103,40.77835,1.17721,70.12937,41961.81283,53182.68445,1750.69771,51416.70008,15.28665,4619.9064,15000.0,0.89,90.25317,0.0,3595.29339,-12956.28268,-30.87637
